subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
English Language,Basic 5,Grammar - Parts of Speech,Which word is a noun in this sentence: 'The dog runs fast'?,multiple_choice,a,'Dog' is a noun because it names an animal.,easy,10,45,dog,runs,fast,the
English Language,Basic 5,Grammar - Parts of Speech,Identify the verb: 'Birds fly in the sky.',multiple_choice,b,'Fly' is a verb because it shows action.,easy,10,45,birds,fly,sky,in
English Language,Basic 5,Grammar - Parts of Speech,Which word is an adjective: 'The small cat sleeps'?,multiple_choice,c,'Small' is an adjective because it describes the noun 'cat'.,medium,10,60,cat,sleeps,small,the
English Language,Basic 5,Grammar - Parts of Speech,Find the adverb: 'She walks slowly.',multiple_choice,d,'Slowly' is an adverb because it describes how she walks.,medium,10,60,she,walks,slow,slowly
English Language,Basic 5,Grammar - Parts of Speech,What type of word is 'but' in: 'I like apples but not oranges'?,multiple_choice,b,'But' is a conjunction because it joins two parts of the sentence.,medium,10,75,noun,conjunction,verb,adjective
English Language,Basic 5,Grammar - Parts of Speech,Which is a pronoun: 'She gave me the book'?,multiple_choice,a,'She' is a pronoun because it takes the place of a person's name.,easy,10,45,she,gave,book,me
English Language,Basic 5,Grammar - Parts of Speech,Identify the preposition: 'The book is on the table.',multiple_choice,c,'On' is a preposition showing the position of the book.,medium,10,75,book,is,on,table
English Language,Basic 5,Grammar - Parts of Speech,What is 'oh' in: 'Oh! I forgot my bag!'?,multiple_choice,d,'Oh' is an interjection expressing surprise or realization.,hard,15,90,noun,verb,adjective,interjection
English Language,Basic 5,Grammar - Parts of Speech,Which word is an article: 'The boy has an apple'?,multiple_choice,a,'The' is a definite article used before nouns.,medium,10,60,the,boy,has,apple
English Language,Basic 5,Grammar - Parts of Speech,Find the proper noun: 'Mary lives in Ghana.',multiple_choice,b,'Mary' is a proper noun because it's a specific person's name.,medium,10,75,lives,Mary,Ghana,in
English Language,Basic 5,Grammar - Tenses,Which sentence is in present tense?,multiple_choice,a,'He eats rice' is in present tense showing current action.,easy,10,60,He eats rice,He ate rice,He will eat rice,He was eating rice
English Language,Basic 5,Grammar - Tenses,Identify the past tense verb: 'Yesterday she played football.',multiple_choice,c,'Played' is the past tense of 'play'.,easy,10,45,yesterday,she,played,football
English Language,Basic 5,Grammar - Tenses,Which is future tense: 'Tomorrow I _____ my friend.',multiple_choice,b,'Will visit' shows future tense with 'will' + base verb.,medium,10,75,visit,will visit,visited,am visiting
English Language,Basic 5,Grammar - Tenses,Change to past tense: 'I go to school.',multiple_choice,d,The past tense of 'go' is 'went'.,medium,10,60,I going to school,I will go to school,I am going to school,I went to school
English Language,Basic 5,Grammar - Tenses,What tense is: 'We are singing a song'?,multiple_choice,c,'Are singing' is present continuous tense showing ongoing action.,medium,10,75,Simple present,Simple past,Present continuous,Future tense
English Language,Basic 5,Grammar - Tenses,Choose the correct past tense: 'He _____ a story yesterday.',multiple_choice,a,'Read' is the correct past tense of 'read' (pronounced 'red').,medium,10,60,read,reads,reading,will read
English Language,Basic 5,Grammar - Tenses,Which shows future tense?,multiple_choice,d,'Going to play' shows future intention.,medium,10,75,I play games,I played games,I am playing games,I am going to play games
English Language,Basic 5,Grammar - Tenses,Complete with present tense: 'Every day he _____ to work.',multiple_choice,b,'Goes' is present tense for third person singular.,medium,10,75,go,goes,went,will go
English Language,Basic 5,Grammar - Tenses,What is the past tense of 'come'?,multiple_choice,c,The past tense of 'come' is 'came'.,easy,10,45,come,coming,came,comes
English Language,Basic 5,Grammar - Tenses,Choose the future tense: 'Next month we _____ to the beach.',multiple_choice,d,'Will go' is future tense.,medium,10,75,go,went,are going,will go
English Language,Basic 5,Grammar - Sentence Types,What type of sentence is: 'Open your book.'?,multiple_choice,c,'Open your book' is an imperative sentence giving a command.,medium,10,75,Declarative,Interrogative,Imperative,Exclamatory
English Language,Basic 5,Grammar - Sentence Types,Identify the question: Which sentence asks something?,multiple_choice,b,'What is your name?' is an interrogative sentence asking a question.,easy,10,60,My name is John,What is your name?,Tell me your name,What a nice name!
English Language,Basic 5,Grammar - Sentence Types,What type is: 'How beautiful the flowers are!'?,multiple_choice,d,This is an exclamatory sentence expressing strong emotion.,medium,10,75,Declarative,Interrogative,Imperative,Exclamatory
English Language,Basic 5,Grammar - Sentence Types,Which is a statement?,multiple_choice,a,'The sky is blue' makes a statement or declaration.,easy,10,60,The sky is blue,Is the sky blue?,Look at the sky,How blue the sky is!
English Language,Basic 5,Grammar - Sentence Types,Choose the command: Which sentence tells someone to do something?,multiple_choice,c,'Please stand up' is an imperative sentence giving a polite command.,medium,10,90,I am standing,Are you standing?,Please stand up,How tall you are standing!
