subject_name,class_level_name,topic_title,question_text,question_type,correct_answer,explanation,difficulty,points,time_limit,choice_a,choice_b,choice_c,choice_d
Science,Basic 5,Living Things - Plants,What do plants need to grow?,multiple_choice,d,Plants need sunlight water air and nutrients from soil to grow properly.,medium,10,90,Only water,Only sunlight,Only soil,Sunlight water air and nutrients
Science,Basic 5,Living Things - Plants,Which part of the plant takes in water?,multiple_choice,a,Roots absorb water and nutrients from the soil.,easy,10,60,Roots,Leaves,Stem,Flowers
Science,Basic 5,Living Things - Plants,What do leaves do for a plant?,multiple_choice,b,Leaves make food for the plant through photosynthesis.,medium,10,75,Store water,Make food,Support the plant,Attract insects
Science,Basic 5,Living Things - Plants,What is the green color in leaves called?,multiple_choice,c,Chlorophyll is the green substance that helps plants make food.,medium,10,75,Water,Sugar,Chlorophyll,Oxygen
Science,Basic 5,Living Things - Plants,What gas do plants take in from the air?,multiple_choice,b,Plants take in carbon dioxide from the air during photosynthesis.,medium,10,60,Oxygen,Carbon dioxide,Nitrogen,Water vapor
Science,Basic 5,Living Things - Plants,What gas do plants give out?,multiple_choice,a,Plants give out oxygen as a result of photosynthesis.,medium,10,60,Oxygen,Carbon dioxide,Nitrogen,Water vapor
Science,Basic 5,Living Things - Plants,Which part carries water from roots to leaves?,multiple_choice,c,The stem carries water and nutrients from roots to other parts of the plant.,medium,10,90,Roots,Leaves,Stem,Flowers
Science,Basic 5,Living Things - Plants,What is it called when plants make their own food?,multiple_choice,d,Photosynthesis is the process where plants make food using sunlight.,medium,10,75,Breathing,Growing,Flowering,Photosynthesis
Science,Basic 5,Living Things - Plants,Why are plants important to us?,multiple_choice,c,Plants give us oxygen food and many useful materials.,medium,10,120,They look pretty,They make shade,They give us oxygen and food,They make noise
Science,Basic 5,Living Things - Plants,What happens if a plant doesn't get enough sunlight?,multiple_choice,b,Without enough sunlight plants cannot make food and may die.,medium,10,90,It grows faster,It becomes weak and may die,It changes color only,It produces more flowers
Science,Basic 5,Living Things - Animals,What do all animals need to stay alive?,multiple_choice,d,All animals need food water air and shelter to survive.,easy,10,90,Only food,Only water,Only air,Food water air and shelter
Science,Basic 5,Living Things - Animals,Which animals eat only plants?,multiple_choice,b,Herbivores are animals that eat only plants.,medium,10,60,Carnivores,Herbivores,Omnivores,Predators
Science,Basic 5,Living Things - Animals,Which animals eat only meat?,multiple_choice,a,Carnivores are animals that eat only meat.,medium,10,60,Carnivores,Herbivores,Omnivores,Vegetarians
Science,Basic 5,Living Things - Animals,Which animals eat both plants and meat?,multiple_choice,c,Omnivores eat both plants and animals.,medium,10,75,Carnivores,Herbivores,Omnivores,Predators
Science,Basic 5,Living Things - Animals,How do fish get oxygen?,multiple_choice,b,Fish use gills to get oxygen from water.,medium,10,75,Through lungs,Through gills,Through skin,Through nose
Science,Basic 5,Living Things - Animals,What do we call animals that are eaten by other animals?,multiple_choice,d,Prey are animals that are hunted and eaten by predators.,medium,10,75,Predators,Hunters,Carnivores,Prey
